participant_id,game,latency_ms,quality_rating,acceptable
4,rocket_league,0,3.6,1
4,rocket_league,225,3.5,1
4,half_life_2,150,4.0,1
4,half_life_2,75,4.5,1
4,half_life_2,0,5.0,1
4,half_life_2,225,3.0,1
4,fitts_law,0,5.0,1
4,fitts_law,225,2.5,0
4,fitts_law,75,4.0,1
4,fitts_law,150,3.5,1
4,feeding_frenzy,225,3.5,1
4,feeding_frenzy,150,4.2,1
4,feeding_frenzy,75,5.0,1
4,feeding_frenzy,0,5.0,1
5,dave_the_diver,75,4.0,1
5,dave_the_diver,150,4.0,1
5,dave_the_diver,225,4.0,1
5,dave_the_diver,0,3.0,1
5,feeding_frenzy,150,4.0,1
5,feeding_frenzy,0,3.0,1
5,feeding_frenzy,75,4.0,1
5,feeding_frenzy,225,3.0,1
6,dave_the_diver,75,2.0,0
6,dave_the_diver,150,3.0,0
6,dave_the_diver,225,2.0,0
6,dave_the_diver,0,3.0,1
6,rocket_league,225,1.0,1
6,rocket_league,150,1.0,0
6,rocket_league,75,4.0,1
6,rocket_league,0,4.0,0
6,half_life_2,75,4.0,1
6,half_life_2,0,5.0,1
6,half_life_2,225,1.0,0
6,half_life_2,150,2.0,0
6,fitts_law,150,1.0,0
6,fitts_law,75,2.0,0
6,fitts_law,225,1.0,0
6,fitts_law,0,5.0,1
6,feeding_frenzy,150,4.0,1
6,feeding_frenzy,75,4.0,1
6,feeding_frenzy,0,3.0,1
6,feeding_frenzy,225,4.0,1
7,rocket_league,225,4.0,1
7,rocket_league,0,4.0,1
7,rocket_league,150,3.0,1
7,rocket_league,75,4.0,1
7,half_life_2,225,5.0,1
7,half_life_2,75,5.0,1
7,half_life_2,0,5.0,1
7,half_life_2,150,5.0,1
7,fitts_law,225,2.0,1
7,fitts_law,75,3.0,1
7,fitts_law,0,4.0,1
7,fitts_law,150,3.0,1
7,feeding_frenzy,75,4.0,1
7,feeding_frenzy,150,4.0,1
7,feeding_frenzy,0,5.0,1
7,feeding_frenzy,225,4.0,1
8,dave_the_diver,75,4.5,1
8,dave_the_diver,225,1.0,0
8,dave_the_diver,150,1.5,0
8,dave_the_diver,0,5.0,1
8,rocket_league,0,5.0,1
8,rocket_league,225,3.0,0
8,rocket_league,150,4.0,1
8,rocket_league,75,4.0,1
8,half_life_2,75,3.0,1
8,half_life_2,0,5.0,1
8,half_life_2,225,1.0,0
8,half_life_2,150,1.5,0
8,fitts_law,75,3.0,0
8,fitts_law,225,1.0,0
8,fitts_law,0,5.0,1
8,fitts_law,150,1.5,0
8,feeding_frenzy,0,5.0,1
8,feeding_frenzy,225,3.0,1
8,feeding_frenzy,75,4.5,1
8,feeding_frenzy,150,4.0,1
9,dave_the_diver,225,2.0,0
9,dave_the_diver,0,5.0,1
9,dave_the_diver,150,5.0,1
9,dave_the_diver,75,5.0,1
9,rocket_league,225,4.0,1
9,rocket_league,150,5.0,1
9,rocket_league,0,5.0,1
9,rocket_league,75,5.0,1
9,half_life_2,225,1.0,0
9,half_life_2,150,1.0,0
9,half_life_2,75,2.0,0
9,half_life_2,0,5.0,1
9,fitts_law,75,2.0,0
9,fitts_law,150,1.0,0
9,fitts_law,225,1.0,0
9,fitts_law,0,5.0,1
9,feeding_frenzy,75,4.0,1
9,feeding_frenzy,225,2.0,0
9,feeding_frenzy,0,5.0,1
9,feeding_frenzy,150,4.0,1
