participant_id,session_timestamp,game,round_timestamp,latency_ms,has_qoe,has_kb,has_mouse,has_score_png,has_dump,has_score_txt,has_results,has_replay,has_replay_json,round_path,missing_qoe,missing_kb,missing_mouse,ff_missing_score_png,ff_missing_score_txt,hl2_missing_dump,hl2_missing_score_txt,fitts_missing_results,rl_missing_replay,rl_missing_replay_json,score_txt_without_png,replay_json_without_replay,hl2_score_without_dump
12,2026-01-28_17-17-45,rocket_league,2026-01-28_17-20-25,225,True,True,True,,,,,True,True,../experiment/12/2026-01-28_17-17-45/rocket_league/2026-01-28_17-20-25_225ms,False,False,False,False,False,False,False,False,False,False,False,False,False
12,2026-01-28_17-17-45,rocket_league,2026-01-28_17-22-25,0,True,True,True,,,,,True,True,../experiment/12/2026-01-28_17-17-45/rocket_league/2026-01-28_17-22-25_0ms,False,False,False,False,False,False,False,False,False,False,False,False,False
12,2026-01-28_17-17-45,rocket_league,2026-01-28_17-24-27,75,True,True,True,,,,,True,True,../experiment/12/2026-01-28_17-17-45/rocket_league/2026-01-28_17-24-27_75ms,False,False,False,False,False,False,False,False,False,False,False,False,False
12,2026-01-28_17-17-45,rocket_league,2026-01-28_17-26-24,150,True,True,True,,,,,True,True,../experiment/12/2026-01-28_17-17-45/rocket_league/2026-01-28_17-26-24_150ms,False,False,False,False,False,False,False,False,False,False,False,False,False
12,2026-01-28_17-17-45,half_life_2,2026-01-28_17-37-39,225,True,True,True,,True,True,,,,../experiment/12/2026-01-28_17-17-45/half_life_2/2026-01-28_17-37-39_225ms,False,False,False,False,False,False,False,False,False,False,False,False,False
12,2026-01-28_17-17-45,half_life_2,2026-01-28_17-38-18,0,True,True,True,,True,True,,,,../experiment/12/2026-01-28_17-17-45/half_life_2/2026-01-28_17-38-18_0ms,False,False,False,False,False,False,False,False,False,False,False,False,False
12,2026-01-28_17-17-45,half_life_2,2026-01-28_17-39-00,75,True,True,True,,True,True,,,,../experiment/12/2026-01-28_17-17-45/half_life_2/2026-01-28_17-39-00_75ms,False,False,False,False,False,False,False,False,False,False,False,False,False
12,2026-01-28_17-17-45,half_life_2,2026-01-28_17-39-40,150,True,True,True,,True,True,,,,../experiment/12/2026-01-28_17-17-45/half_life_2/2026-01-28_17-39-40_150ms,False,False,False,False,False,False,False,False,False,False,False,False,False
12,2026-01-28_17-17-45,fitts_law,2026-01-28_17-41-56,0,True,True,True,,,,True,,,../experiment/12/2026-01-28_17-17-45/fitts_law/2026-01-28_17-41-56_0ms,False,False,False,False,False,False,False,False,False,False,False,False,False
12,2026-01-28_17-17-45,fitts_law,2026-01-28_17-43-19,150,True,True,True,,,,True,,,../experiment/12/2026-01-28_17-17-45/fitts_law/2026-01-28_17-43-19_150ms,False,False,False,False,False,False,False,False,False,False,False,False,False
12,2026-01-28_17-17-45,fitts_law,2026-01-28_17-41-15,225,True,True,True,,,,True,,,../experiment/12/2026-01-28_17-17-45/fitts_law/2026-01-28_17-41-15_225ms,False,False,False,False,False,False,False,False,False,False,False,False,False
12,2026-01-28_17-17-45,fitts_law,2026-01-28_17-42-37,75,True,True,True,,,,True,,,../experiment/12/2026-01-28_17-17-45/fitts_law/2026-01-28_17-42-37_75ms,False,False,False,False,False,False,False,False,False,False,False,False,False
12,2026-01-28_17-17-45,feeding_frenzy,2026-01-28_17-47-33,150,True,True,True,True,,True,,,,../experiment/12/2026-01-28_17-17-45/feeding_frenzy/2026-01-28_17-47-33_150ms,False,False,False,False,False,False,False,False,False,False,False,False,False
