participant_id,game,latency_ms,score,mean_time_ms,median_time_ms,throughput,n_trials,goals,saves,assists,shots,quality_rating,acceptable,game_display,score_z,score_pct_of_baseline
18,fitts_law,75,3.7455113562047577,1240.0352941176473,1217.4,3.7455113562047577,17.0,,,,,3.0,0.0,Fitts Law,0.28548964019436596,66.79968178218336
18,fitts_law,225,2.617458910786192,1817.4333333333334,1597.1,2.617458910786192,12.0,,,,,1.5,0.0,Fitts Law,-0.6689800430630065,46.68132217215457
18,fitts_law,150,3.3956506119796166,1217.0,1104.6,3.3956506119796166,17.0,,,,,2.0,0.0,Fitts Law,-0.010535136916819883,60.56005675912692
18,feeding_frenzy,150,390.0,,,,,,,,,4.5,1.0,Feeding Frenzy,-0.2877559137198112,40.20618556701031
18,feeding_frenzy,75,450.0,,,,,,,,,4.5,1.0,Feeding Frenzy,-0.12067183478572724,46.391752577319586
18,feeding_frenzy,0,970.0,,,,,,,,,5.0,1.0,Feeding Frenzy,1.3273901826430003,100.0
18,feeding_frenzy,225,240.0,,,,,,,,,3.0,1.0,Feeding Frenzy,-0.7054661110550211,24.742268041237114
19,dave_the_diver,150,0.0,,,,,,,,,4.5,1.0,Dave the Diver,-1.8993557415483373,0.0
19,dave_the_diver,225,0.0,,,,,,,,,4.0,1.0,Dave the Diver,-1.8993557415483373,0.0
19,dave_the_diver,75,0.4,,,,,,,,,4.0,1.0,Dave the Diver,-1.5580811270241441,26.666666666666668
19,dave_the_diver,0,1.5,,,,,,,,,4.0,1.0,Dave the Diver,-0.6195759370826127,100.0
19,rocket_league,225,387.0,,,,,3.0,0.0,0.0,4.0,3.0,1.0,Rocket League,1.691068279559919,100.0
19,rocket_league,150,152.0,,,,,1.0,0.0,0.0,1.0,3.5,1.0,Rocket League,-0.1386440639392243,39.276485788113696
19,rocket_league,75,290.0,,,,,2.0,0.0,0.0,4.0,5.0,1.0,Rocket League,0.9358253122432513,74.93540051679587
19,rocket_league,0,68.0,,,,,0.0,0.0,0.0,1.0,5.0,1.0,Rocket League,-0.7926689016155138,17.571059431524546
19,half_life_2,150,6.0,,,,,,,,,2.5,0.0,Half-Life 2,-1.8700364911627374,46.15384615384615
19,half_life_2,225,7.0,,,,,,,,,1.0,0.0,Half-Life 2,-1.5703696266312663,53.84615384615385
19,half_life_2,0,13.0,,,,,,,,,5.0,1.0,Half-Life 2,0.22763156055755984,100.0
19,half_life_2,75,9.0,,,,,,,,,4.5,1.0,Half-Life 2,-0.9710358975683243,69.23076923076923
19,fitts_law,75,3.306346105162119,927.4954545454547,947.45,3.306346105162119,22.0,,,,,2.5,0.0,Fitts Law,-0.08609762045358922,66.53538266724406
19,fitts_law,225,2.355270038653483,2077.0444444444447,1918.7,2.355270038653483,9.0,,,,,1.0,0.0,Fitts Law,-0.8908237443505457,47.39636696286531
19,fitts_law,0,4.969305011286665,770.625925925926,714.4,4.969305011286665,27.0,,,,,5.0,1.0,Fitts Law,1.3209680411165805,100.0
19,fitts_law,150,2.1570548569731707,1472.857142857143,1315.8000000000002,2.1570548569731707,14.0,,,,,2.0,0.0,Fitts Law,-1.0585379161903228,43.40757615147194
19,feeding_frenzy,75,780.0,,,,,,,,,5.0,1.0,Feeding Frenzy,0.7982905993517345,48.75
19,feeding_frenzy,225,180.0,,,,,,,,,3.5,1.0,Feeding Frenzy,-0.872550189989105,11.25
19,feeding_frenzy,0,640.0,,,,,,,,,5.0,1.0,Feeding Frenzy,0.4084277485055386,40.0
19,feeding_frenzy,150,1600.0,,,,,,,,,5.0,1.0,Feeding Frenzy,3.081773011450882,100.0
2,rocket_league,150,431.0,,,,,3.0,0.0,0.0,3.0,4.4,1.0,Rocket League,2.0336527183427373,81.78368121442125
2,rocket_league,75,284.0,,,,,2.0,0.0,0.0,3.0,5.0,1.0,Rocket League,0.8891092524092307,53.889943074003796
2,rocket_league,225,140.0,,,,,1.0,0.0,0.0,0.0,3.5,1.0,Rocket League,-0.23207618360726565,26.56546489563567
2,rocket_league,0,527.0,,,,,4.0,0.0,0.0,5.0,5.0,1.0,Rocket League,2.7811096756870683,100.0
2,half_life_2,75,16.0,,,,,,,,,4.0,1.0,Half-Life 2,1.126632154151973,94.11764705882352
2,half_life_2,150,15.0,,,,,,,,,2.4,0.0,Half-Life 2,0.8269652896205019,88.23529411764706
2,half_life_2,0,17.0,,,,,,,,,5.0,1.0,Half-Life 2,1.4262990186834439,100.0
2,half_life_2,225,16.0,,,,,,,,,1.1,0.0,Half-Life 2,1.126632154151973,94.11764705882352
2,fitts_law,75,4.3058032144758025,844.4125,825.85,4.3058032144758025,24.0,,,,,1.0,0.0,Fitts Law,0.7595647549353451,75.75038226716946
2,fitts_law,0,5.684199981050071,587.6473684210526,514.9,5.684199981050071,38.0,,,,,4.8,1.0,Fitts Law,1.9258562075521235,100.0
2,fitts_law,150,3.314968400473291,1126.5105263157893,1102.4,3.314968400473291,19.0,,,,,1.0,0.0,Fitts Law,-0.07880210905424813,58.31899671940993
2,fitts_law,225,2.80948021857994,1609.7,1664.65,2.80948021857994,12.0,,,,,1.0,0.0,Fitts Law,-0.506506642492912,49.426132577076054
2,feeding_frenzy,75,800.0,,,,,,,,,4.9,1.0,Feeding Frenzy,0.8539852923297625,68.96551724137932
2,feeding_frenzy,225,320.0,,,,,,,,,2.9,0.0,Feeding Frenzy,-0.4826873391429091,27.586206896551722
2,feeding_frenzy,0,1160.0,,,,,,,,,4.8,1.0,Feeding Frenzy,1.8564897659342663,100.0
2,feeding_frenzy,150,310.0,,,,,,,,,4.0,1.0,Feeding Frenzy,-0.5105346856319232,26.72413793103448
20,dave_the_diver,225,0.0,,,,,,,,,3.0,1.0,Dave the Diver,-1.8993557415483373,0.0
20,dave_the_diver,75,3.9,,,,,,,,,4.0,1.0,Dave the Diver,1.4280717500625464,100.0
20,dave_the_diver,150,2.2,,,,,,,,,4.0,1.0,Dave the Diver,-0.022345361665274475,56.41025641025642
